Código Ámbito,Ámbito,Código área (M49),Área,Código Elemento,Elemento,Código Producto,Producto,Código año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo
"RP","Plaguicidas Uso","076","Brasil","5157","Uso Agrícola","1331","Fungicidas y bactericidas","2017","2017","toneladas","59124","F","Estimación FAO"
"RP","Plaguicidas Uso","076","Brasil","5157","Uso Agrícola","1331","Fungicidas y bactericidas","2018","2018","toneladas","59124","F","Estimación FAO"
"RP","Plaguicidas Uso","076","Brasil","5157","Uso Agrícola","1331","Fungicidas y bactericidas","2019","2019","toneladas","59124","F","Estimación FAO"
"RP","Plaguicidas Uso","840","Estados Unidos de América","5157","Uso Agrícola","1309","Insecticidas","1990","1990","toneladas","86182","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","840","Estados Unidos de América","5157","Uso Agrícola","1309","Insecticidas","1991","1991","toneladas","88904","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","840","Estados Unidos de América","5157","Uso Agrícola","1309","Insecticidas","1992","1992","toneladas","92079","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","840","Estados Unidos de América","5157","Uso Agrícola","1309","Insecticidas","1993","1993","toneladas","91172","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","840","Estados Unidos de América","5157","Uso Agrícola","1309","Insecticidas","1994","1994","toneladas","98883","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","840","Estados Unidos de América","5157","Uso Agrícola","1309","Insecticidas","1995","1995","toneladas","104326","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","840","Estados Unidos de América","5157","Uso Agrícola","1309","Insecticidas","1996","1996","toneladas","111584","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","840","Estados Unidos de América","5157","Uso Agrícola","1309","Insecticidas","1997","1997","toneladas","100697","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","840","Estados Unidos de América","5157","Uso Agrícola","1309","Insecticidas","1998","1998","toneladas","81647","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","840","Estados Unidos de América","5157","Uso Agrícola","1309","Insecticidas","1999","1999","toneladas","94347","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","840","Estados Unidos de América","5157","Uso Agrícola","1309","Insecticidas","2000","2000","toneladas","100244","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","840","Estados Unidos de América","5157","Uso Agrícola","1309","Insecticidas","2001","2001","toneladas","79379","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","840","Estados Unidos de América","5157","Uso Agrícola","1309","Insecticidas","2002","2002","toneladas","90265","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","840","Estados Unidos de América","5157","Uso Agrícola","1309","Insecticidas","2003","2003","toneladas","79379","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","840","Estados Unidos de América","5157","Uso Agrícola","1309","Insecticidas","2004","2004","toneladas","91626","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","840","Estados Unidos de América","5157","Uso Agrícola","1309","Insecticidas","2005","2005","toneladas","61689","F","Estimación FAO"
"RP","Plaguicidas Uso","840","Estados Unidos de América","5157","Uso Agrícola","1309","Insecticidas","2006","2006","toneladas","74843","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","840","Estados Unidos de América","5157","Uso Agrícola","1309","Insecticidas","2007","2007","toneladas","78471","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","840","Estados Unidos de América","5157","Uso Agrícola","1309","Insecticidas","2008","2008","toneladas","70760","F","Estimación FAO"
"RP","Plaguicidas Uso","840","Estados Unidos de América","5157","Uso Agrícola","1309","Insecticidas","2009","2009","toneladas","63049","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","840","Estados Unidos de América","5157","Uso Agrícola","1309","Insecticidas","2010","2010","toneladas","63956","F","Estimación FAO"
